video_id,question_about_action,noun,answer,time,frames
P01_01,What did he do with the boiling water,water:boiling,see,00:11:26.55-00:11:31.55,41193-41493
P01_01,What did he do with the bottle,bottle,"take,put,put-down","00:16:10.43-00:16:11.15,00:16:26.43-00:16:28.16,00:21:12.55-00:21:13.96","58225-58269,59185-59289,76353-76437"
P01_01,What did he do with the carrot,carrot,"take,wash,wash,take,cut,grate,grate,grate,grate,throw,throw","00:00:24.48-00:00:27.94,00:01:14.29-00:01:18.89,00:01:18.99-00:01:22.79,00:09:22.08-00:09:22.81,00:09:24.25-00:09:28.84,00:09:34.42-00:09:46.92,00:09:47.02-00:09:55.58,00:09:50.29-00:10:00.72,00:10:02.19-00:10:38.99,00:10:41.81-00:10:42.83,00:10:52.77-00:10:53.83","1468-1676,4457-4733,4739-4967,33724-33768,33855-34130,34465-35215,35221-35734,35417-36043,36131-38339,38508-38569,39166-39229"
P01_01,What did he do with the celery,celery,"take,take,wash,wash,put-down,cut,cut,pour,take,throw,put","00:00:15.25-00:00:16.40,00:04:55.70-00:04:59.70,00:05:01.25-00:05:15.50,00:05:03.56-00:05:15.49,00:05:18.25-00:05:20.00,00:05:22.78-00:05:28.18,00:05:28.28-00:05:38.07,00:05:41.64-00:05:46.21,00:05:47.33-00:05:53.79,00:05:54.09-00:05:58.44,00:06:00.76-00:06:03.07","915-983,17742-17982,18075-18930,18213-18929,19095-19200,19366-19690,19696-20284,20498-20772,20839-21227,21245-21506,21645-21784"
P01_01,What did he do with the container,container,"take,open,close,take,put,open,put,put,take,put,take,open,take,close,put,take,put-down","00:00:16.50-00:00:18.06,00:06:19.26-00:06:21.20,00:06:25.48-00:06:28.37,00:08:05.22-00:08:07.21,00:08:08.38-00:08:09.12,00:08:12.00-00:08:12.74,00:08:13.22-00:08:14.37,00:08:19.64-00:08:20.60,00:09:02.04-00:09:02.98,00:09:07.40-00:09:09.01,00:17:54.15-00:17:56.28,00:17:55.38-00:17:56.71,00:17:57.10-00:17:58.82,00:17:59.03-00:18:03.58,00:18:03.68-00:18:04.55,00:25:55.54-00:25:56.79,00:26:13.89-00:26:14.66","990-1083,22755-22872,23128-23302,29113-29232,29302-29347,29520-29564,29593-29662,29978-30036,32522-32578,32844-32940,64449-64576,64522-64602,64625-64729,64741-65014,65020-65073,93332-93407,94433-94479"
P01_01,What did he do with the courgette,courgette,"wash,wash,take,cut,cut,cut,dice,dice,dice,dice,pour,throw,stir,stir","00:01:01.86-00:01:05.23,00:01:05.20-00:01:13.13,00:01:44.10-00:01:45.22,00:01:45.69-00:02:02.03,00:02:07.80-00:02:24.89,00:02:10.99-00:02:25.79,00:02:30.53-00:02:45.65,00:02:45.75-00:03:00.28,00:03:00.38-00:03:13.90,00:03:59.04-00:04:08.81,00:04:10.05-00:04:17.87,00:04:21.69-00:04:24.65,00:04:32.08-00:04:37.85,00:04:47.86-00:04:54.25","3711-3913,3912-4387,6246-6313,6341-7321,7668-8693,7859-8747,9031-9939,9945-10816,10822-11634,14342-14928,15003-15472,15701-15878,16324-16671,17271-17655"
P01_01,What did he do with the cup,cup,"take,put","00:07:59.75-00:08:00.88,00:08:02.13-00:08:03.00","28785-28852,28927-28980"
P01_01,What did he do with the cupboard,cupboard,"open,close,open,close,close,open,close,open,open,open,take,put-down,open,open,open","00:00:41.79-00:00:42.55,00:00:47.75-00:00:48.76,00:01:27.43-00:01:28.29,00:01:41.66-00:01:42.41,00:01:43.02-00:01:43.77,00:07:51.45-00:07:52.70,00:07:56.74-00:07:59.32,00:08:01.47-00:08:02.21,00:11:02.55-00:11:03.55,00:13:41.22-00:13:42.41,00:13:42.41-00:13:45.17,00:13:44.28-00:13:45.77,00:15:53.95-00:15:55.00,00:16:34.54-00:16:37.07,00:20:47.89-00:20:49.76","2507-2553,2865-2925,5245-5297,6099-6144,6181-6226,28287-28362,28604-28759,28888-28932,39753-39813,49273-49344,49344-49510,49456-49546,57237-57300,59672-59824,74873-74985"
P01_01,What did he do with the curry powder,powder:curry,"pour,take,open,put-down,close,put","00:23:56.96-00:24:03.62,00:23:57.14-00:23:57.82,00:23:58.23-00:23:59.16,00:24:02.96-00:24:04.06,00:25:50.10-00:25:54.13,00:25:54.44-00:25:55.19","86217-86617,86228-86269,86293-86349,86577-86643,93006-93247,93266-93311"
P01_01,What did he do with the cutlery,cutlery,"take,put","00:16:29.60-00:16:33.60,00:16:37.17-00:16:47.93","59376-59616,59830-60475"
P01_01,What did he do with the cutting board,board:cutting,"take,put-down,put-down,take,put-down","00:00:43.20-00:00:46.64,00:00:46.45-00:00:47.81,00:05:46.01-00:05:47.67,00:11:59.03-00:12:00.04,00:12:02.45-00:12:03.55","2592-2798,2787-2868,20760-20860,43141-43202,43347-43413"
P01_01,What did he do with the door,door,"open,close","00:00:00.14-00:00:03.37,00:00:06.98-00:00:09.49","8-202,418-569"
P01_01,What did he do with the drainer,drainer,"take,put-on,put-down,wash","00:20:51.05-00:20:52.99,00:23:33.00-00:23:34.00,00:23:46.14-00:23:47.80,00:27:13.69-00:27:15.21","75063-75179,84780-84840,85568-85668,98021-98112"
P01_01,What did he do with the drawer,drawer,"open,open,close,open,close,open,take,put-down,open,open,close,open","00:00:24.97-00:00:26.20,00:00:51.66-00:00:53.00,00:00:56.10-00:00:56.60,00:04:25.06-00:04:26.44,00:04:28.57-00:04:29.24,00:08:28.16-00:08:29.94,00:08:29.29-00:08:31.54,00:08:32.66-00:08:34.43,00:08:36.81-00:08:38.05,00:12:33.09-00:12:34.49,00:16:47.68-00:16:49.46,00:17:26.31-00:17:28.40","1498-1572,3099-3180,3366-3396,15903-15986,16114-16154,30489-30596,30557-30692,30759-30865,31008-31082,45185-45269,60460-60567,62778-62904"
P01_01,What did he do with the fork,fork,"take,put-down","00:08:37.88-00:08:39.13,00:08:39.34-00:08:40.25","31072-31147,31160-31215"
P01_01,What did he do with the fridge,fridge,"open,close,open,close,open,close,open,close","00:00:12.77-00:00:13.99,00:00:21.91-00:00:23.33,00:00:23.18-00:00:24.29,00:00:29.22-00:00:31.32,00:06:00.21-00:06:01.84,00:06:03.07-00:06:04.15,00:09:06.39-00:09:07.42,00:09:09.28-00:09:10.03","766-839,1314-1399,1390-1457,1753-1879,21612-21710,21784-21849,32783-32845,32956-33001"
P01_01,What did he do with the glass,glass,"take,take,put,take,put-down,put-down,take,put-down","00:07:47.50-00:07:48.55,00:07:49.14-00:07:50.32,00:07:54.18-00:07:57.23,00:17:16.96-00:17:21.42,00:17:20.23-00:17:28.68,00:17:21.52-00:17:26.04,00:21:03.99-00:21:05.35,00:21:16.12-00:21:17.61","28050-28113,28148-28219,28450-28633,62217-62485,62413-62920,62491-62762,75839-75921,76567-76656"
P01_01,What did he do with the grater,grater,"take,take,take,drop,put-down,take,put-down","00:01:32.53-00:01:34.09,00:09:21.12-00:09:22.32,00:09:21.12-00:09:22.52,00:09:29.18-00:09:31.02,00:10:39.51-00:10:40.27,00:10:44.49-00:10:45.33,00:10:49.68-00:10:50.77","5551-5645,33667-33739,33667-33751,34150-34261,38370-38416,38669-38719,38980-39046"
P01_01,What did he do with the hob,hob,"turn-on,turn,adjust,turn-off,turn-off","00:02:02.13-00:02:06.98,00:11:15.00-00:11:16.99,00:12:51.40-00:12:52.66,00:22:49.72-00:22:53.80,00:25:04.53-00:25:07.43","7327-7618,40500-40619,46284-46359,82183-82428,90271-90445"
P01_01,What did he do with the kettle,kettle,"take,turn,take,put-down","00:07:06.95-00:07:09.35,00:07:25.11-00:07:27.13,00:11:19.51-00:11:22.29,00:11:39.07-00:11:41.91","25617-25761,26706-26827,40770-40937,41944-42114"
P01_01,What did he do with the knife,knife,"take,take,put-down,put-down,take,put-down,take","00:00:53.50-00:00:56.00,00:00:53.55-00:00:54.36,00:00:54.73-00:00:55.74,00:00:57.45-00:00:58.70,00:06:30.95-00:06:32.13,00:07:04.69-00:07:06.42,00:14:29.59-00:14:31.03","3210-3360,3213-3261,3283-3344,3447-3522,23457-23527,25481-25585,52175-52261"
P01_01,What did he do with the lid,lid,close,00:08:15.80-00:08:16.99,29748-29819
P01_01,What did he do with the light,light,turn-on,00:00:04.37-00:00:06.17,262-370
P01_01,What did he do with the oil,oil,"pour,close,put-down","00:11:47.88-00:11:53.08,00:11:53.14-00:11:56.39,00:11:56.49-00:11:57.82","42472-42784,42788-42983,42989-43069"
P01_01,What did he do with the olive oil,oil:olive,take,00:11:43.86-00:11:45.41,42231-42324
P01_01,What did he do with the onion,onion,"take,take,put-down,cut,cut,cut,pour","00:06:21.53-00:06:24.85,00:06:24.01-00:06:24.76,00:06:24.86-00:06:25.58,00:06:32.59-00:06:38.75,00:06:35.40-00:06:47.03,00:06:48.39-00:07:02.18,00:12:00.45-00:12:02.38","22891-23091,23040-23085,23091-23134,23555-23925,23724-24421,24503-25330,43227-43342"
P01_01,What did he do with the pan,pan,"take,put-down,put-down,wash","00:01:35.28-00:01:39.56,00:01:40.74-00:01:42.26,00:27:00.99-00:27:03.13,00:27:07.07-00:27:09.70","5716-5973,6044-6135,97259-97387,97624-97782"
P01_01,What did he do with the plate,plate,"take,put,take,put-down,take,put-down","00:08:22.35-00:08:23.31,00:08:24.66-00:08:27.92,00:26:15.37-00:26:17.29,00:26:17.78-00:26:19.15,00:27:17.63-00:27:19.73,00:27:20.40-00:27:21.69","30141-30198,30279-30475,94522-94637,94666-94749,98257-98383,98424-98501"
P01_01,What did he do with the rice,rice,"take,open,put-down,take,pour,pour,put,stir,stir,stir,scoop,taste,stir,scoop,taste,drain,pour,scoop,stir,stir,stir,stir,stir,stir,stir,pour,pour,scoop,pour,scoop,pour,scoop,scoop,pour,scoop","00:13:46.91-00:13:48.61,00:13:49.23-00:13:55.31,00:13:59.14-00:14:00.44,00:15:28.62-00:15:29.95,00:15:31.78-00:15:37.61,00:15:38.46-00:15:42.95,00:15:55.05-00:15:56.87,00:17:05.41-00:17:12.73,00:18:07.48-00:18:12.33,00:19:32.15-00:19:38.40,00:20:27.73-00:20:30.68,00:20:31.57-00:20:36.04,00:21:46.28-00:21:52.18,00:22:35.25-00:22:39.79,00:22:39.78-00:22:45.40,00:23:21.98-00:23:28.80,00:23:29.67-00:23:33.10,00:23:34.71-00:23:44.23,00:24:04.87-00:24:17.00,00:24:15.34-00:24:22.60,00:24:22.70-00:24:29.94,00:24:30.04-00:25:05.28,00:25:08.06-00:25:18.08,00:25:18.18-00:25:26.20,00:25:24.00-00:25:48.50,00:25:57.62-00:26:02.98,00:26:00.82-00:26:13.78,00:26:02.53-00:26:04.28,00:26:04.38-00:26:06.13,00:26:06.48-00:26:08.48,00:26:20.10-00:26:32.56,00:26:33.88-00:26:39.85,00:26:40.67-00:26:46.04,00:26:46.11-00:26:58.12,00:26:46.24-00:26:58.73","49614-49716,49753-50118,50348-50426,55717-55797,55906-56256,56307-56577,57303-57412,61524-61963,65248-65539,70329-70704,73663-73840,73894-74162,78376-78730,81315-81587,81586-81924,84118-84528,84580-84786,84882-85453,86692-87420,87320-87756,87762-88196,88202-90316,90483-91084,91090-91572,91440-92910,93457-93778,93649-94426,93751-93856,93862-93967,93988-94108,94806-95553,95632-95991,96040-96362,96366-97087,96374-97123"
P01_01,What did he do with the rice bag,bag:rice,"fold,close","00:15:45.45-00:15:51.60,00:15:51.70-00:15:53.04","56727-57096,57102-57182"
P01_01,What did he do with the salt,salt,"take,open,pour,put-down,take,open,put-down,pour,pour,close,put-down","00:04:39.60-00:04:41.35,00:04:41.45-00:04:42.93,00:04:42.80-00:04:45.05,00:04:45.15-00:04:46.79,00:12:30.39-00:12:31.52,00:12:31.62-00:12:33.15,00:12:32.75-00:12:34.00,00:12:37.80-00:12:41.59,00:12:42.15-00:12:43.65,00:12:44.91-00:12:45.76,00:12:47.50-00:12:49.40","16776-16881,16887-16975,16968-17103,17109-17207,45023-45091,45097-45189,45165-45240,45468-45695,45729-45819,45894-45945,46050-46164"
P01_01,What did he do with the saucepan,saucepan,"take,put-down,take,drain,put-down,wash","00:11:03.55-00:11:05.30,00:11:07.31-00:11:14.16,00:23:12.79-00:23:15.13,00:23:16.56-00:23:21.29,00:23:44.20-00:23:45.98,00:27:10.12-00:27:13.57","39813-39918,40038-40449,83567-83707,83793-84077,85452-85558,97807-98014"
P01_01,What did he do with the spatula,spatula,"take,put-down,take,stir,put-down,take,take,take,take,take,take,take,put-down,take,put-down,put-down,take,take,take,put-down,take,put-down,take,put-down,put-down,take,put-down,take,put-down,take,put-down,put-down,take,put-down,take,put-down,take,put-down,take,put-down","00:04:30.43-00:04:32.16,00:04:54.35-00:04:55.60,00:06:07.34-00:06:08.34,00:06:08.37-00:06:18.03,00:06:17.83-00:06:19.31,00:06:30.52-00:06:31.28,00:07:30.08-00:07:30.80,00:08:41.19-00:08:42.08,00:09:13.41-00:09:14.49,00:10:54.75-00:10:55.75,00:11:57.92-00:11:58.80,00:12:49.54-00:12:50.27,00:13:39.54-00:13:40.87,00:14:00.71-00:14:01.64,00:14:24.26-00:14:25.31,00:15:04.17-00:15:05.18,00:15:21.64-00:15:22.39,00:15:59.49-00:16:00.51,00:16:49.94-00:16:50.89,00:17:13.60-00:17:14.56,00:17:31.67-00:17:32.77,00:17:46.54-00:17:47.60,00:18:06.44-00:18:07.95,00:18:51.93-00:18:53.76,00:19:38.58-00:19:40.53,00:20:14.16-00:20:15.40,00:20:15.19-00:20:25.84,00:21:20.72-00:21:21.54,00:21:35.96-00:21:36.98,00:21:44.50-00:21:45.45,00:21:51.47-00:21:54.03,00:23:48.37-00:23:49.19,00:23:49.49-00:23:50.24,00:23:56.35-00:23:57.03,00:24:03.85-00:24:04.93,00:25:48.75-00:25:49.85,00:25:56.82-00:25:58.67,00:26:14.19-00:26:15.30,00:26:19.22-00:26:20.16,00:26:58.16-00:27:00.51","16225-16329,17661-17736,22040-22100,22102-22681,22669-22758,23431-23476,27004-27048,31271-31324,33204-33269,39285-39345,43075-43128,46172-46216,49172-49252,50442-50498,51855-51918,54250-54310,55298-55343,57569-57630,60596-60653,62015-62073,63100-63166,63992-64055,65186-65277,67915-68025,70714-70831,72849-72924,72911-73550,76843-76892,77757-77818,78270-78327,78688-78841,85702-85751,85769-85814,86181-86221,86631-86695,92925-92991,93409-93520,94451-94518,94753-94809,97089-97230"
P01_01,What did he do with the spoon,spoon,"take,put-down,take,take,put-down,take,put-down","00:12:34.95-00:12:36.70,00:12:46.10-00:12:46.78,00:17:15.04-00:17:17.63,00:20:25.60-00:20:26.60,00:20:36.14-00:20:38.93,00:22:33.66-00:22:35.47,00:22:46.01-00:22:49.61","45297-45402,45966-46006,62102-62257,73536-73596,74168-74335,81219-81328,81960-82176"
P01_01,What did he do with the tap,tap,"open,close,open,close,open,close,open,close","00:00:59.05-00:01:02.30,00:01:22.19-00:01:23.19,00:05:01.30-00:05:03.46,00:05:15.03-00:05:15.94,00:07:09.74-00:07:13.81,00:07:21.50-00:07:22.25,00:27:05.28-00:27:06.96,00:27:14.97-00:27:16.13","3543-3738,4931-4991,18078-18207,18901-18956,25784-26028,26490-26535,97516-97617,98098-98167"
P01_01,What did he do with the tofu,tofu,"take,take,cut,pour","00:00:18.19-00:00:21.14,00:14:26.00-00:14:27.27,00:14:30.88-00:14:35.11,00:14:45.93-00:14:49.17","1091-1268,51960-52036,52252-52506,53155-53350"
P01_01,What did he do with the tofu container,container:tofu,"open,put-down,take,throw,throw","00:14:35.48-00:14:45.08,00:14:49.53-00:14:50.92,00:15:05.28-00:15:08.19,00:15:09.33-00:15:11.48,00:15:11.43-00:15:13.59","52528-53104,53371-53455,54316-54491,54559-54688,54685-54815"
P01_01,What did he do with the top,top,"open,close","00:16:11.25-00:16:11.96,00:16:23.64-00:16:25.68","58275-58317,59018-59140"
P01_01,What did he do with the tupperware container,container:tupperware,throw,00:15:17.61-00:15:18.43,55056-55105
P01_01,What did he do with the vegetable,vegetable,"put-down,put-down,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,adjust,stir,stir,stir,stir,stir,stir,stir,stir,stir","00:00:36.68-00:00:37.78,00:01:25.49-00:01:26.49,00:07:30.55-00:07:38.30,00:07:35.57-00:07:44.74,00:08:41.92-00:08:48.56,00:09:14.66-00:09:18.50,00:10:55.73-00:11:00.95,00:12:03.70-00:12:11.48,00:12:10.37-00:12:30.08,00:12:50.26-00:12:51.32,00:12:54.72-00:13:28.26,00:12:55.67-00:13:01.63,00:13:09.33-00:13:39.66,00:14:01.74-00:14:07.27,00:14:07.37-00:14:24.11,00:14:50.88-00:15:04.28,00:15:21.66-00:15:28.69,00:15:59.28-00:16:09.59,00:16:50.90-00:16:58.04,00:16:58.21-00:17:00.21,00:17:00.56-00:17:05.06,00:17:31.88-00:17:47.42,00:18:14.25-00:18:23.39,00:18:19.02-00:18:51.26,00:19:23.09-00:19:31.98,00:20:15.33-00:20:25.72,00:21:21.73-00:21:32.70,00:21:29.56-00:21:36.27,00:23:50.72-00:23:56.34","2200-2266,5129-5189,27033-27498,27334-27884,31315-31713,33279-33510,39343-39657,43422-43888,43822-45004,46215-46279,46483-48495,46540-46897,47359-49179,50504-50836,50842-51846,53452-54256,55299-55721,57556-58175,60654-61082,61092-61212,61233-61503,63112-64045,65655-66203,65941-67875,69785-70318,72919-73543,76903-77562,77373-77776,85843-86180"
P01_01,What did he do with the water,water,"pour,pour,pour,stir,pour,pour,drink","00:07:09.91-00:07:17.77,00:07:17.00-00:07:23.16,00:11:23.41-00:11:37.36,00:12:42.73-00:12:44.37,00:16:13.41-00:16:24.80,00:21:05.00-00:21:10.37,00:21:10.93-00:21:16.66","25794-26266,26220-26589,41004-41841,45763-45862,58404-59088,75900-76222,76255-76599"
P01_02,What did he do with the bin,bin,"open,close,open,close","00:00:08.61-00:00:09.28,00:00:18.38-00:00:19.13,00:06:17.71-00:06:18.97,00:06:19.80-00:06:21.96","516-556,1102-1147,22662-22738,22788-22917"
P01_02,What did he do with the bottle,bottle,"take,put-down,close","00:08:07.35-00:08:08.64,00:08:13.20-00:08:14.20,00:08:14.65-00:08:17.15","29241-29318,29592-29652,29679-29829"
P01_02,What did he do with the chair,chair,move,00:07:33.77-00:07:35.28,27226-27316
