video_id,question_about_nouns,verb,answer,time,frames
P01_01,What all does he adjust,adjust,"hob,vegetable","00:12:51.40-00:12:52.66,00:16:58.21-00:17:00.21","46284-46359,61092-61212"
P01_01,What all does he close,close,"door,fridge,fridge,cupboard,drawer,tap,cupboard,cupboard,drawer,tap,fridge,container,tap,cupboard,lid,fridge,oil,salt,rice bag,top,drawer,container,curry powder,tap","00:00:06.98-00:00:09.49,00:00:21.91-00:00:23.33,00:00:29.22-00:00:31.32,00:00:47.75-00:00:48.76,00:00:56.10-00:00:56.60,00:01:22.19-00:01:23.19,00:01:41.66-00:01:42.41,00:01:43.02-00:01:43.77,00:04:28.57-00:04:29.24,00:05:15.03-00:05:15.94,00:06:03.07-00:06:04.15,00:06:25.48-00:06:28.37,00:07:21.50-00:07:22.25,00:07:56.74-00:07:59.32,00:08:15.80-00:08:16.99,00:09:09.28-00:09:10.03,00:11:53.14-00:11:56.39,00:12:44.91-00:12:45.76,00:15:51.70-00:15:53.04,00:16:23.64-00:16:25.68,00:16:47.68-00:16:49.46,00:17:59.03-00:18:03.58,00:25:50.10-00:25:54.13,00:27:14.97-00:27:16.13","418-569,1314-1399,1753-1879,2865-2925,3366-3396,4931-4991,6099-6144,6181-6226,16114-16154,18901-18956,21784-21849,23128-23302,26490-26535,28604-28759,29748-29819,32956-33001,42788-42983,45894-45945,57102-57182,59018-59140,60460-60567,64741-65014,93006-93247,98098-98167"
P01_01,What all does he cut,cut,"courgette,courgette,courgette,celery,celery,onion,onion,onion,carrot,tofu","00:01:45.69-00:02:02.03,00:02:07.80-00:02:24.89,00:02:10.99-00:02:25.79,00:05:22.78-00:05:28.18,00:05:28.28-00:05:38.07,00:06:32.59-00:06:38.75,00:06:35.40-00:06:47.03,00:06:48.39-00:07:02.18,00:09:24.25-00:09:28.84,00:14:30.88-00:14:35.11","6341-7321,7668-8693,7859-8747,19366-19690,19696-20284,23555-23925,23724-24421,24503-25330,33855-34130,52252-52506"
P01_01,What all does he dice,dice,"courgette,courgette,courgette,courgette","00:02:30.53-00:02:45.65,00:02:45.75-00:03:00.28,00:03:00.38-00:03:13.90,00:03:59.04-00:04:08.81","9031-9939,9945-10816,10822-11634,14342-14928"
P01_01,What all does he drain,drain,"saucepan,rice","00:23:16.56-00:23:21.29,00:23:21.98-00:23:28.80","83793-84077,84118-84528"
P01_01,What all does he drink,drink,water,00:21:10.93-00:21:16.66,76255-76599
P01_01,What all does he drop,drop,grater,00:09:29.18-00:09:31.02,34150-34261
P01_01,What all does he fold,fold,rice bag,00:15:45.45-00:15:51.60,56727-57096
P01_01,What all does he grate,grate,"carrot,carrot,carrot,carrot","00:09:34.42-00:09:46.92,00:09:47.02-00:09:55.58,00:09:50.29-00:10:00.72,00:10:02.19-00:10:38.99","34465-35215,35221-35734,35417-36043,36131-38339"
P01_01,What all does he open,open,"door,fridge,fridge,drawer,cupboard,drawer,tap,cupboard,drawer,salt,tap,fridge,container,tap,cupboard,cupboard,container,drawer,drawer,fridge,cupboard,salt,drawer,cupboard,rice,tofu container,cupboard,top,cupboard,drawer,container,cupboard,curry powder,tap","00:00:00.14-00:00:03.37,00:00:12.77-00:00:13.99,00:00:23.18-00:00:24.29,00:00:24.97-00:00:26.20,00:00:41.79-00:00:42.55,00:00:51.66-00:00:53.00,00:00:59.05-00:01:02.30,00:01:27.43-00:01:28.29,00:04:25.06-00:04:26.44,00:04:41.45-00:04:42.93,00:05:01.30-00:05:03.46,00:06:00.21-00:06:01.84,00:06:19.26-00:06:21.20,00:07:09.74-00:07:13.81,00:07:51.45-00:07:52.70,00:08:01.47-00:08:02.21,00:08:12.00-00:08:12.74,00:08:28.16-00:08:29.94,00:08:36.81-00:08:38.05,00:09:06.39-00:09:07.42,00:11:02.55-00:11:03.55,00:12:31.62-00:12:33.15,00:12:33.09-00:12:34.49,00:13:41.22-00:13:42.41,00:13:49.23-00:13:55.31,00:14:35.48-00:14:45.08,00:15:53.95-00:15:55.00,00:16:11.25-00:16:11.96,00:16:34.54-00:16:37.07,00:17:26.31-00:17:28.40,00:17:55.38-00:17:56.71,00:20:47.89-00:20:49.76,00:23:58.23-00:23:59.16,00:27:05.28-00:27:06.96","8-202,766-839,1390-1457,1498-1572,2507-2553,3099-3180,3543-3738,5245-5297,15903-15986,16887-16975,18078-18207,21612-21710,22755-22872,25784-26028,28287-28362,28888-28932,29520-29564,30489-30596,31008-31082,32783-32845,39753-39813,45097-45189,45185-45269,49273-49344,49753-50118,52528-53104,57237-57300,58275-58317,59672-59824,62778-62904,64522-64602,74873-74985,86293-86349,97516-97617"
P01_01,What all does he pour,pour,"courgette,salt,celery,water,water,water,oil,onion,salt,salt,tofu,rice,rice,water,water,rice,curry powder,rice,rice,rice,rice,rice","00:04:10.05-00:04:17.87,00:04:42.80-00:04:45.05,00:05:41.64-00:05:46.21,00:07:09.91-00:07:17.77,00:07:17.00-00:07:23.16,00:11:23.41-00:11:37.36,00:11:47.88-00:11:53.08,00:12:00.45-00:12:02.38,00:12:37.80-00:12:41.59,00:12:42.15-00:12:43.65,00:14:45.93-00:14:49.17,00:15:31.78-00:15:37.61,00:15:38.46-00:15:42.95,00:16:13.41-00:16:24.80,00:21:05.00-00:21:10.37,00:23:29.67-00:23:33.10,00:23:56.96-00:24:03.62,00:25:57.62-00:26:02.98,00:26:00.82-00:26:13.78,00:26:04.38-00:26:06.13,00:26:20.10-00:26:32.56,00:26:46.11-00:26:58.12","15003-15472,16968-17103,20498-20772,25794-26266,26220-26589,41004-41841,42472-42784,43227-43342,45468-45695,45729-45819,53155-53350,55906-56256,56307-56577,58404-59088,75900-76222,84580-84786,86217-86617,93457-93778,93649-94426,93862-93967,94806-95553,96366-97087"
