video_id,question_about_action,noun,answer,time
P01_01,What did he do with the boiling water,water:boiling,see,00:11:26.55-00:11:31.55
P01_01,What did he do with the bottle,bottle,"take,put,put-down","00:16:10.43-00:16:11.15,00:16:26.43-00:16:28.16,00:21:12.55-00:21:13.96"
P01_01,What did he do with the carrot,carrot,"take,wash,wash,take,cut,grate,grate,grate,grate,throw,throw","00:00:24.48-00:00:27.94,00:01:14.29-00:01:18.89,00:01:18.99-00:01:22.79,00:09:22.08-00:09:22.81,00:09:24.25-00:09:28.84,00:09:34.42-00:09:46.92,00:09:47.02-00:09:55.58,00:09:50.29-00:10:00.72,00:10:02.19-00:10:38.99,00:10:41.81-00:10:42.83,00:10:52.77-00:10:53.83"
P01_01,What did he do with the celery,celery,"take,take,wash,wash,put-down,cut,cut,pour,take,throw,put","00:00:15.25-00:00:16.40,00:04:55.70-00:04:59.70,00:05:01.25-00:05:15.50,00:05:03.56-00:05:15.49,00:05:18.25-00:05:20.00,00:05:22.78-00:05:28.18,00:05:28.28-00:05:38.07,00:05:41.64-00:05:46.21,00:05:47.33-00:05:53.79,00:05:54.09-00:05:58.44,00:06:00.76-00:06:03.07"
P01_01,What did he do with the container,container,"take,open,close,take,put,open,put,put,take,put,take,open,take,close,put,take,put-down","00:00:16.50-00:00:18.06,00:06:19.26-00:06:21.20,00:06:25.48-00:06:28.37,00:08:05.22-00:08:07.21,00:08:08.38-00:08:09.12,00:08:12.00-00:08:12.74,00:08:13.22-00:08:14.37,00:08:19.64-00:08:20.60,00:09:02.04-00:09:02.98,00:09:07.40-00:09:09.01,00:17:54.15-00:17:56.28,00:17:55.38-00:17:56.71,00:17:57.10-00:17:58.82,00:17:59.03-00:18:03.58,00:18:03.68-00:18:04.55,00:25:55.54-00:25:56.79,00:26:13.89-00:26:14.66"
P01_01,What did he do with the courgette,courgette,"wash,wash,take,cut,cut,cut,dice,dice,dice,dice,pour,throw,stir,stir","00:01:01.86-00:01:05.23,00:01:05.20-00:01:13.13,00:01:44.10-00:01:45.22,00:01:45.69-00:02:02.03,00:02:07.80-00:02:24.89,00:02:10.99-00:02:25.79,00:02:30.53-00:02:45.65,00:02:45.75-00:03:00.28,00:03:00.38-00:03:13.90,00:03:59.04-00:04:08.81,00:04:10.05-00:04:17.87,00:04:21.69-00:04:24.65,00:04:32.08-00:04:37.85,00:04:47.86-00:04:54.25"
P01_01,What did he do with the cup,cup,"take,put","00:07:59.75-00:08:00.88,00:08:02.13-00:08:03.00"
P01_01,What did he do with the cupboard,cupboard,"open,close,open,close,close,open,close,open,open,open,take,put-down,open,open,open","00:00:41.79-00:00:42.55,00:00:47.75-00:00:48.76,00:01:27.43-00:01:28.29,00:01:41.66-00:01:42.41,00:01:43.02-00:01:43.77,00:07:51.45-00:07:52.70,00:07:56.74-00:07:59.32,00:08:01.47-00:08:02.21,00:11:02.55-00:11:03.55,00:13:41.22-00:13:42.41,00:13:42.41-00:13:45.17,00:13:44.28-00:13:45.77,00:15:53.95-00:15:55.00,00:16:34.54-00:16:37.07,00:20:47.89-00:20:49.76"
P01_01,What did he do with the curry powder,powder:curry,"pour,take,open,put-down,close,put","00:23:56.96-00:24:03.62,00:23:57.14-00:23:57.82,00:23:58.23-00:23:59.16,00:24:02.96-00:24:04.06,00:25:50.10-00:25:54.13,00:25:54.44-00:25:55.19"
P01_01,What did he do with the cutlery,cutlery,"take,put","00:16:29.60-00:16:33.60,00:16:37.17-00:16:47.93"
