video_id,question,answer,time,frames,Qtype
P03_09,What did he do with the washing machine?,I don't know,00:08:02.16-00:08:02.91,28929-28974,action
P01_06,What all does he wash?,I don't know,00:02:03.33-00:02:04.65,7399-7479,noun
P02_04,Where did he empty the water?,I don't know,00:01:04.10-00:01:07.53,3845-4051,interaction2
P02_04,What all does he shake?,I don't know,00:05:39.64-00:05:42.76,20378-20565,noun
P01_06,What all does he put?,I don't know,00:01:04.46-00:01:09.25,3867-4155,noun
P01_02,What did he do with the spatula?,I don't know,00:03:59.04-00:04:06.20,14342-14772,action
P03_09,What did he do with the water?,I don't know,00:01:23.74-00:01:24.69,5024-5081,action
P01_02,What all does he wipe?,I don't know,00:01:09.32-00:01:17.33,4159-4639,noun
P01_02,What did he do with the sponge?,I don't know,00:04:48.79-00:04:50.98,17327-17458,action
P03_09,What all does he turn-off?,I don't know,00:03:13.97-00:03:14.76,11638-11685,noun
P03_02,What did he do with the chocolate?,I don't know,00:02:53.56-00:02:55.18,10413-10510,action
P03_02,What all does he pour?,I don't know,00:02:41.63-00:02:48.35,9697-10101,noun
P03_09,What all does he fill?,I don't know,00:00:55.16-00:00:56.21,3309-3372,noun
P03_02,What did he do with the cupboard?,I don't know,00:00:15.40-00:00:17.18,924-1030,action
P01_06,What all does he hang?,I don't know,00:03:17.34-00:03:26.72,11840-12403,noun
P03_02,What did he do with the crisp packet?,I don't know,00:01:11.73-00:01:12.35,4303-4341,action
P02_01,What all does he fill?,I don't know,00:00:32.22-00:00:33.20,1933-1992,noun
P02_04,What all does he shake?,I don't know,00:00:52.95-00:00:53.93,3177-3235,noun
P02_04,What did he do with the sponge?,I don't know,00:04:26.82-00:04:27.34,16009-16040,action
P03_09,What all does he pour?,I don't know,00:09:39.94-00:09:51.47,34796-35488,noun
P01_02,What did he do with the drawer?,I don't know,00:02:50.83-00:02:51.46,10249-10287,action
P01_02,What all does he empty?,I don't know,00:07:21.11-00:07:24.94,26466-26696,noun
P03_09,What all does he wash?,I don't know,00:01:19.85-00:01:20.47,4791-4828,noun
P02_04,What all does he wear?,I don't know,00:04:58.39-00:04:59.40,17903-17964,noun
P03_02,What all does he clean?,I don't know,00:05:57.61-00:06:03.26,21456-21795,noun
P02_04,What all does he put?,broccoli,00:01:01.17-00:01:04.00,3670-3840,noun
P02_01,What did he do with the coffee pot?,I don't know,00:02:32.79-00:02:33.76,9167-9225,action
P01_06,What did he do with the saucepan?,I don't know,00:05:08.56-00:05:11.57,18513-18694,action
P01_02,What did he do with the colander?,I don't know,00:01:20.12-00:01:22.00,4807-4920,action
P02_01,What did he do with the sink?,I don't know,00:02:39.48-00:02:42.23,9568-9733,action
P03_09,What all does he put-in?,I don't know,00:03:26.83-00:03:27.58,12409-12454,noun
P01_04,What did he do with the water?,I don't know,00:00:14.21-00:00:17.21,852-1032,action
P03_09,What all does he pour-up?,I don't know,00:01:27.71-00:01:28.41,5262-5304,noun
P01_02,What did he do with the colander?,I don't know,00:05:34.16-00:05:42.76,20049-20565,action
P01_02,What all does he take-up?,I don't know,00:08:13.80-00:08:19.25,29628-29955,noun
P03_09,What did he do with the lid?,I don't know,00:08:30.15-00:08:36.42,30609-30985,action
P03_09,What all does he get?,I don't know,00:00:58.71-00:01:02.42,3522-3745,noun
P02_04,What did he do with the towel?,I don't know,00:05:18.82-00:05:20.75,19129-19245,action
P02_04,What did he do with the chopping board?,I don't know,00:05:09.03-00:05:11.02,18541-18661,action
P02_04,What did he do with the lid?,I don't know,00:02:23.50-00:02:24.68,8610-8680,action
P03_09,What did he do with the squash?,I don't know,00:04:25.23-00:04:28.04,15913-16082,action
P03_02,What all does he pour-out?,I don't know,00:00:22.45-00:00:23.69,1347-1421,noun
P03_09,What did he do with the spoon?,I don't know,00:06:23.73-00:06:25.53,23023-23131,action
P03_09,What did he put in the bag?,I don't know,00:04:43.00-00:04:44.18,16980-17050,interaction1
P01_07,What did he do with the spoon?,I don't know,00:01:07.13-00:01:09.19,4027-4151,action
P03_02,What did he do with the crisp?,I don't know,00:03:31.96-00:03:33.21,12717-12792,action
P02_04,What did he do with the chopping board?,I don't know,00:03:36.56-00:03:37.80,12993-13068,action
P03_02,What all does he take?,I don't know,00:02:55.83-00:02:56.68,10549-10600,noun
P02_01,What did he put in the cup?,I don't know,00:00:48.31-00:00:53.50,2898-3210,interaction1
P03_09,What did he do with the liquid?,I don't know,00:02:23.21-00:02:29.88,8592-8992,action
P03_09,What did he do with the hob?,I don't know,00:08:30.15-00:08:36.42,30609-30985,action
P03_02,What all does he pour-out?,I don't know,00:01:12.69-00:01:16.19,4361-4571,noun
P03_09,What all does he grab-up?,I don't know,00:02:32.49-00:02:36.88,9149-9412,noun
P01_03,What all does he extract?,I don't know,00:01:47.66-00:01:52.70,6459-6762,noun
P02_01,What did he do with the button?,I don't know,00:00:49.36-00:00:53.89,2961-3233,action
P02_01,What all does he hold?,I don't know,00:00:23.69-00:00:26.07,1421-1564,noun
P01_02,What all does he wash?,I don't know,00:06:53.49-00:06:57.91,24809-25074,noun
P03_02,What all does he put-in?,I don't know,00:03:01.61-00:03:03.56,10896-11013,noun
P03_09,What did he do with the side?,I don't know,00:00:12.42-00:00:14.48,745-868,action
P01_02,What all does he put-down?,I don't know,00:00:05.07-00:00:06.84,304-410,noun
P02_04,What did he do with the pot?,I don't know,00:04:47.06-00:04:49.83,17223-17389,action
P02_04,What did he do with the mesh strainer?,I don't know,00:06:33.82-00:06:35.79,23629-23747,action
P01_06,What did he do with the tap?,I don't know,00:03:26.82-00:03:27.33,12409-12439,action
P01_03,What all does he pour?,I don't know,00:00:50.75-00:00:51.60,3045-3096,noun
P03_09,What did he do with the spatula?,I don't know,00:04:05.96-00:04:13.19,14757-15191,action
P03_09,What did he do with the squash?,I don't know,00:00:12.42-00:00:14.48,745-868,action
P03_02,What did he do with the side?,I don't know,00:03:03.21-00:03:07.65,10992-11259,action
P02_01,What all does he do?,I don't know,00:01:05.97-00:01:07.85,3958-4070,noun
P03_09,What did he do with the bread?,I don't know,00:00:15.77-00:00:16.72,946-1003,action
P03_09,What all does he move?,I don't know,00:06:28.10-00:06:29.03,23286-23341,noun
P03_02,What did he do with the tap?,I don't know,00:00:09.66-00:00:10.16,579-609,action
P01_07,What did he do with the glass?,I don't know,00:00:57.47-00:00:58.79,3448-3527,action
P03_09,What did he do with the saucepan?,I don't know,00:01:38.45-00:01:39.07,5907-5944,action
P03_09,What all does he get?,I don't know,00:00:10.26-00:00:11.21,615-672,noun
P03_09,What all does he move?,I don't know,00:01:51.93-00:02:00.43,6715-7225,noun
P01_02,What did he do with the spoon?,I don't know,00:00:05.07-00:00:06.84,304-410,action
P02_04,What did he do with the sink?,I don't know,00:05:14.46-00:05:17.36,18867-19041,action
P03_09,What did he do with the water?,I don't know,00:03:13.97-00:03:14.76,11638-11685,action
P03_02,What all does he test?,I don't know,00:06:39.89-00:06:43.03,23993-24181,noun
P03_02,What all does he open?,I don't know,00:00:31.35-00:00:32.80,1881-1967,noun
P02_01,What all does he hold?,I don't know,00:00:16.69-00:00:17.33,1001-1039,noun
